Employee Id,Absent,Undertime (in sec.), Overtime (in sec.)
001539,false,3364,0
001696,false,0,10278
002635,true,,
003036,false,1038,0
003259,false,11,0
003610,false,0,0
005204,true,,
006716,false,0,0
007586,false,0,0
008197,false,37,0
009286,false,0,0
009608,false,47,0
010093,false,0,0
011010,false,0,5106
011447,true,,
013858,false,0,4017
015803,true,,
016089,false,0,0
016207,false,0,0
018538,false,0,0
019629,true,,
019745,true,,
019825,false,857,0
021750,false,45,0
022434,false,0,0
024115,false,0,0
024347,true,,
024959,false,0,3130
025710,false,0,4459
027098,false,23,0
027290,false,11145,0
028712,false,1,0
029237,true,,
029397,true,,
029798,false,0,10363
030102,false,3372,0
030855,false,2906,3560
031341,true,,
031622,false,0,0
033799,false,56,0
035529,false,0,8313
036396,false,0,6056
037096,true,,
037795,false,32,0
038086,false,17,0
039407,false,0,0
039862,false,3151,0
041410,false,1795,7280
043996,false,25924,6462
044582,true,,
048180,false,11870,0
048861,true,,
049092,true,,
049255,false,0,0
050563,false,15,0
050987,false,0,0
051257,false,52,0
052294,true,,
052444,false,10,0
053242,false,0,0
054120,false,0,0
054775,false,1481,0
055605,false,0,0
056989,false,14235,0
059314,false,56,0
059834,false,46,0
061448,false,3415,0
061466,false,0,9855
061965,false,2368,0
062422,false,0,2930
063389,false,547,0
064170,false,2,0
064177,true,,
064507,false,0,0
065233,true,,
066070,false,0,0
068747,true,,
069198,true,,
070302,true,,
072534,false,0,0
073840,false,2,0
074318,false,0,7267
074974,false,3045,0
075448,false,4,0
076755,false,0,0
077715,false,0,7552
078002,false,0,2718
079933,false,15,0
080746,false,552,0
080882,true,,
083025,true,,
083857,false,1907,0
084257,false,0,0
085040,true,,
088210,true,,
089184,false,0,8752
089493,true,,
090946,false,3207,0
091149,false,0,2650
092092,false,0,0
092650,false,0,0
093895,false,49,0
094381,false,24060,0
094781,false,0,10063
095371,false,0,0
095950,false,50,0
095951,true,,
096703,false,1,0
097510,false,447,0
099819,false,0,0
100457,true,,
102853,true,,
102881,false,15,0
104770,false,2820,0
105562,false,8566,0
106046,false,0,0
106416,true,,
106503,true,,
106973,false,24176,0
107064,true,,
107886,true,,
107963,false,0,2020
109579,false,0,0
110020,true,,
110178,true,,
110816,false,35,0
111246,true,,
111829,false,0,0
113486,true,,
113893,false,33,0
114269,false,951,0
115320,false,0,0
117414,false,0,8389
119469,false,0,0
119893,false,191,0
119950,false,0,0
123205,false,0,10790
123362,true,,
124032,false,0,0
125264,false,417,0
125849,true,,
126872,false,0,0
127753,false,0,0
130400,true,,
130612,false,0,0
131033,true,,
131259,false,0,0
132090,true,,
132260,false,0,2997
133911,true,,
134313,false,44,0
135059,false,0,0
135762,true,,
136882,true,,
137026,true,,
137845,false,42,0
139533,false,1444,0
141190,true,,
141912,false,0,0
141971,false,2568,8357
144650,true,,
145065,false,8,4620
145604,false,0,0
146916,true,,
148324,true,,
148432,false,55,0
152347,false,18,0
152667,false,4,0
152799,false,0,0
154346,false,198,0
155389,false,45,0
155821,true,,
155916,false,1709,0
156103,false,0,10092
157684,true,,
159681,true,,
159843,false,0,1188
160539,false,0,0
160846,true,,
162908,true,,
163404,true,,
165242,false,13956,0
166108,false,0,0
166391,false,0,0
166707,false,0,0
167580,false,0,0
168862,false,934,0
169308,false,0,0
169441,false,1413,0
170362,true,,
170870,false,1503,0
171200,false,0,4299
172163,false,0,0
174486,false,0,0
176480,false,0,0
178421,false,1664,8300
180029,false,39,0
184385,false,51,0
187247,false,0,0
188330,true,,
188387,false,41,3400
188492,false,26,0
189993,false,54,0
190014,false,3376,0
190816,true,,
193600,false,0,3777
195965,true,,
197342,false,0,5178
197875,false,0,999
199633,false,14687,0
199857,false,0,0
200246,true,,
200869,true,,
201782,false,0,0
202124,false,0,0
202159,false,23501,9252
202549,true,,
204775,true,,
205135,true,,
207011,true,,
207348,false,0,0
208474,true,,
210234,true,,
210398,false,8447,0
210518,false,0,0
213723,true,,
214246,false,23286,0
214744,false,18,10766
215753,false,33,0
216072,true,,
216357,false,3575,0
216748,true,,
216857,false,0,0
219129,false,0,0
219506,false,53,0
220275,true,,
220370,true,,
222216,false,38,0
223573,false,45,6297
224819,true,,
225044,false,0,0
225855,true,,
227154,false,0,0
229041,true,,
229314,true,,
230156,false,3310,0
230929,false,0,3457
231079,false,2769,0
232562,false,0,0
233957,false,0,0
234802,false,3,0
237291,false,0,9129
237529,false,1648,0
237773,false,3423,0
244836,false,11,0
246441,false,3177,0
246594,false,11521,0
247303,false,2722,5202
249814,false,0,0
250282,true,,
251929,false,0,0
252607,true,,
252651,false,39,0
254401,false,0,0
254481,false,45,0
257527,false,0,0
262143,true,,
262761,false,22855,0
263134,false,0,4456
263474,true,,
265144,false,36,0
266504,true,,
266943,true,,
267264,false,36,0
267479,true,,
269696,false,29,0
270043,true,,
270762,true,,
271331,false,0,0
271736,false,0,0
272482,false,0,0
272898,true,,
273247,true,,
274159,true,,
275511,false,0,0
276686,false,0,0
279764,false,2030,0
279836,false,0,0
282603,false,0,2766
282628,false,0,0
282942,true,,
283535,false,0,0
285330,false,3319,0
286505,true,,
287182,false,248,0
288138,false,38,0
290216,true,,
290459,false,0,0
290531,false,0,8569
291197,true,,
291669,false,35,0
292338,false,2,6783
293288,false,2305,0
294782,true,,
295624,false,2044,8354
295625,false,0,2079
295713,false,23,0
296018,false,59,0
296393,true,,
297020,false,25,0
297172,false,2728,6804
297482,false,290,0
298131,false,0,0
298229,false,10,0
300315,false,0,0
300683,false,23,0
300782,false,11,9026
302098,true,,
302646,false,0,0
303661,false,0,2914
306088,false,0,0
306097,false,51,0
306545,true,,
308909,false,0,0
308914,false,2296,10196
309784,false,37,3107
309856,false,0,0
309987,false,0,0
310116,false,41,0
311389,false,0,0
311601,false,2982,0
312620,false,0,0
312632,true,,
314756,true,,
315843,false,0,0
317363,false,1666,7347
317586,false,6,0
318823,false,0,0
319771,false,0,7502
321562,false,57,0
321838,false,0,0
323377,true,,
324438,false,0,0
324509,false,5418,0
324947,false,0,0
325120,false,1219,0
326313,false,0,0
326446,false,2008,0
327314,true,,
327539,false,0,0
327611,true,,
327704,false,6,0
328211,true,,
332955,true,,
333806,false,9,0
335099,false,47,0
338294,true,,
338335,false,54,0
338673,false,8,0
340134,false,9,9948
340237,false,0,6716
340337,false,2,0
341094,true,,
342381,false,0,0
342881,false,17287,2553
344427,false,585,0
345903,true,,
347132,false,0,0
350234,false,0,0
351026,true,,
352486,false,0,0
353456,false,0,0
355801,false,0,0
356130,true,,
357275,false,959,9823
359100,false,9,0
359324,false,49,0
359839,false,0,0
361772,true,,
362270,true,,
362932,false,0,0
364947,false,2127,6775
365309,false,2196,0
365362,false,521,0
367765,false,0,0
368137,false,0,0
368454,true,,
368684,false,2722,0
371589,false,14,0
372016,false,0,0
372968,true,,
373974,false,0,0
374036,false,0,0
374585,false,0,8679
375125,false,39,0
376919,false,26,5610
377117,false,2834,0
378531,true,,
380888,true,,
382633,false,0,0
383004,false,0,9478
383241,false,0,0
386075,false,0,0
386785,true,,
390567,false,0,0
391120,false,0,0
392054,true,,
393055,true,,
393225,true,,
393512,false,43,0
398247,false,52,0
399943,false,0,0
400358,false,0,9672
402627,true,,
403018,false,0,6641
404497,true,,
404539,true,,
404834,true,,
406677,true,,
408934,false,5770,5062
409586,false,0,0
409798,true,,
410287,true,,
412398,false,56,0
412828,false,0,0
413120,true,,
414178,false,27,0
414249,false,0,0
414775,false,0,0
415120,false,0,0
415232,false,3199,0
416131,false,0,0
416911,false,0,2589
418193,true,,
420930,false,11831,2994
421411,false,0,0
421584,false,1288,0
422475,true,,
423216,true,,
423489,false,10040,0
425593,false,0,0
427991,false,0,2627
428855,false,3508,0
428940,false,4889,0
428953,false,0,0
429632,false,0,0
430092,true,,
430823,false,0,6473
431799,false,3,0
432302,false,0,0
432434,true,,
433055,true,,
434094,false,42,0
434286,false,14,0
434716,false,0,5226
434849,true,,
436547,false,0,0
437521,false,0,0
437667,false,0,0
438668,true,,
439648,false,0,4565
440533,false,0,3676
440936,true,,
443067,true,,
443235,true,,
443505,true,,
445712,false,3201,0
447323,false,0,307
447624,false,6927,7112
448086,false,4,0
448635,true,,
448837,false,0,8166
449823,true,,
450507,false,0,0
452161,false,2847,5004
452834,false,0,0
454965,false,0,8788
455286,false,0,0
456010,true,,
456474,true,,
457018,false,0,0
460527,true,,
460668,false,0,0
461326,false,0,1441
462975,false,0,0
463110,false,0,4103
464585,false,0,0
464672,false,25,0
464850,true,,
465087,false,0,131
468356,true,,
470590,true,,
471017,false,2827,0
471794,false,36,5089
472036,false,0,0
472633,false,0,7191
473847,false,0,8398
478000,false,4247,9797
478797,false,3192,0
480685,true,,
480728,false,1344,0
481261,false,0,0
481844,false,13492,0
483372,false,2961,9735
483790,false,0,0
484020,false,1333,0
487110,true,,
487664,false,0,7118
489424,true,,
489694,false,0,0
492536,true,,
493837,true,,
494389,false,0,0
494839,false,2548,0
497208,false,0,0
499780,false,1726,0
501067,true,,
502013,false,1,0
503550,true,,
505346,false,3223,0
506833,false,0,0
506847,true,,
507932,false,2289,0
507982,false,3556,0
508561,true,,
509145,false,0,8845
509166,false,0,0
509602,true,,
512398,false,56,0
512874,true,,
513401,false,48745,0
513941,false,0,0
515198,true,,
515230,true,,
519042,false,0,0
519644,true,,
519691,false,36,0
520626,true,,
521697,true,,
523105,true,,
523669,false,0,0
524752,false,0,0
524834,false,0,0
525631,false,905,0
526183,false,623,0
526376,false,0,0
526530,true,,
526974,true,,
528112,true,,
528941,false,0,0
530941,true,,
531477,true,,
532342,false,0,0
532431,true,,
532434,false,0,0
533231,true,,
533980,false,0,433
535054,false,0,0
538258,false,0,570
539267,false,0,0
539424,false,291,0
540882,false,0,9786
541336,false,0,0
541344,true,,
541615,true,,
541656,true,,
541684,false,45,8344
543079,false,0,3521
544668,false,13102,0
545168,true,,
545632,false,0,6055
545641,false,0,0
546893,false,0,0
547244,false,31,0
547611,false,0,0
547939,false,3488,0
548672,false,3189,0
548760,false,21,0
549078,true,,
550034,false,0,0
550579,false,8861,0
550879,false,0,0
556029,true,,
557826,false,510,0
558843,true,,
560362,true,,
560471,false,15,0
560742,false,0,0
562331,false,708,0
562901,false,0,2388
563222,true,,
564256,true,,
564305,false,1983,0
564982,false,0,0
565190,true,,
565985,true,,
569503,false,595,10172
570821,true,,
571654,false,2410,0
572370,false,0,7694
572383,false,1290,0
573795,true,,
575399,true,,
575919,true,,
577310,false,0,0
577557,false,0,0
578382,false,0,0
578441,false,29,7385
579547,false,0,10620
579744,false,0,0
580015,false,1727,0
581010,false,1507,0
582461,true,,
583381,false,0,0
583555,false,24326,0
585231,false,0,0
585261,false,42,0
589472,true,,
589860,false,354,6613
590352,true,,
590494,false,0,0
591088,false,35,6946
591351,false,227,0
593257,false,0,0
594438,true,,
594541,false,2270,0
595528,false,0,0
596001,true,,
596164,false,0,0
598243,true,,
598497,true,,
599108,false,0,0
599214,false,3,3227
601234,true,,
601721,false,0,1191
603497,false,0,0
604548,true,,
606938,true,,
607799,false,0,0
608019,false,0,0
609777,false,0,0
611609,false,16,1825
611716,false,0,0
613338,false,0,0
614223,false,0,648
615359,false,0,0
615437,false,0,140
615906,false,0,0
617432,true,,
617879,false,0,0
618807,false,2333,0
623337,false,2927,0
623480,true,,
623577,true,,
624877,true,,
625164,false,0,4422
626384,false,0,0
627220,false,0,0
628094,false,0,0
629002,true,,
629364,false,57,0
630012,false,0,9127
630208,false,1133,0
630727,false,5,0
631022,true,,
631774,false,0,0
633430,false,0,0
633818,false,0,0
639806,true,,
641293,false,7297,0
642059,false,0,0
643402,false,3487,9613
644836,false,30,0
644984,false,0,0
647968,true,,
648894,false,2986,9869
649138,false,0,0
649390,false,27976,0
650143,false,2076,0
650824,false,821,0
652222,true,,
655228,false,1281,0
655838,true,,
656574,false,12,0
656654,false,0,0
656905,false,0,0
657884,false,0,0
658773,true,,
660323,false,0,0
660428,false,0,0
661354,false,187,0
663037,false,67,0
664921,false,2483,0
668263,true,,
668888,false,0,0
669224,false,0,0
669332,false,0,1694
671672,false,0,0
675016,true,,
